data	piolo	modulo	domanda	risposta
2026-09-18-2245	r300	arith	Shallow coral reefs, which occupy less than 0.1 percent of the ocean floor, are estimated… (frase 8, AFFERMAZIONE letta in chat)	0.025.
2026-09-18-2250	r320	knowledge	At the most basic level, composting requires gathering a mix of green waste (…) (frase 6, AFFERMAZIONE letta in chat)	Grass is green because it is full of chlorophyll…
2026-09-18-2250	r320	semantic_lead	what does green waste include?	I don't actually see or experience things, but I can describe it: a fresh, restful colour…
2026-09-18-2250	r320	knowledge	Composting requires green waste (nitrogen-rich materials such as leaves, grass, and food scraps). (AFFERMAZIONE)	Learned 10 prerequisites for composting. (la parentetica letta come lista di prerequisiti)
2026-09-18-2300	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-18-2300	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-18-2300	r320	knowledge	how much of the waste in landfil	1. Salvage insulated copper wire, strong permanent
2026-09-18-2300	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-18-2318	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-18-2318	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-18-2318	r320	knowledge	how much of the waste in landfil	1. Salvage insulated copper wire, strong permanent
2026-09-18-2318	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-1021	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-1021	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-1021	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-1021	r320	knowledge	how much of the waste in landfil	1. Salvage insulated copper wire, strong permanent
2026-09-19-1021	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-1025	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-1025	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-1025	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-1025	r320	knowledge	how much of the waste in landfil	1. Salvage insulated copper wire, strong permanent
2026-09-19-1025	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-1035	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-1035	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-1035	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-1035	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-1039	r340	knowledge	what is often formed in charcoal	charcoal is a lightweight black residue.
2026-09-19-1039	r340	knowledge	what is the heat supplied by in	charcoal is a lightweight black residue.
2026-09-19-1039	r340	knowledge	in which regions did charcoal pr	america, africa.
2026-09-19-1039	r340	analysis_family	where is wood carbonized in mode	On wood carbonized in modern, a sound investigatio
2026-09-19-1039	r340	knowledge	what factors do the properties o	charred, carbonization.
2026-09-19-1039	r340	answerframe	what is the temperature of carbo	Temperature measures the average energy of the ran
2026-09-19-1039	r340	answerframe	what is charcoal made of carbon	The carbon cycle exchanges carbon among air, ocean
2026-09-19-1059	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-1059	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-1059	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-1059	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-1059	r320	turn_plan	what is this text about?	The text is about mixture.
2026-09-19-1059	r320	turn_plan	what is the topic?	The text is about mixture.
2026-09-19-1101	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-1101	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-1101	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-1101	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-1114	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-1114	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-1114	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-1114	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-1116	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-1116	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-1116	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-1116	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-1119	r340	knowledge	what is often formed in charcoal	charcoal is a lightweight black residue.
2026-09-19-1119	r340	knowledge	what is the heat supplied by in	charcoal is a lightweight black residue.
2026-09-19-1119	r340	knowledge	in which regions did charcoal pr	america, africa.
2026-09-19-1119	r340	analysis_family	where is wood carbonized in mode	On wood carbonized in modern, a sound investigatio
2026-09-19-1119	r340	knowledge	what factors do the properties o	charred, carbonization.
2026-09-19-1119	r340	answerframe	what is the temperature of carbo	Temperature measures the average energy of the ran
2026-09-19-1119	r340	answerframe	what is charcoal made of carbon	The carbon cycle exchanges carbon among air, ocean
2026-09-19-1122	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-1122	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-1122	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-1122	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-1124	r300	turn_plan	what do corals secrete?	hard.
2026-09-19-1124	r300	turn_plan	what do shallow coral reefs form	earth.
2026-09-19-1125	r340	knowledge	what is often formed in charcoal	charcoal is a lightweight black residue.
2026-09-19-1125	r340	knowledge	what is the heat supplied by in	charcoal is a lightweight black residue.
2026-09-19-1125	r340	turn_plan	what does the early history of w	ancient.
2026-09-19-1125	r340	knowledge	in which regions did charcoal pr	america, africa.
2026-09-19-1125	r340	analysis_family	where is wood carbonized in mode	On wood carbonized in modern, a sound investigatio
2026-09-19-1125	r340	knowledge	what factors do the properties o	charred, carbonization.
2026-09-19-1125	r340	answerframe	what is the temperature of carbo	Temperature measures the average energy of the ran
2026-09-19-1125	r340	answerframe	what is charcoal made of carbon	The carbon cycle exchanges carbon among air, ocean
2026-09-19-1129	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-1129	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-1129	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-1129	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-1131	r340	knowledge	what is often formed in charcoal	charcoal is a lightweight black residue.
2026-09-19-1131	r340	knowledge	what is the heat supplied by in	charcoal is a lightweight black residue.
2026-09-19-1131	r340	turn_plan	what does the early history of w	abundance.
2026-09-19-1131	r340	knowledge	in which regions did charcoal pr	america, africa.
2026-09-19-1131	r340	analysis_family	where is wood carbonized in mode	On wood carbonized in modern, a sound investigatio
2026-09-19-1131	r340	knowledge	what factors do the properties o	charred, carbonization.
2026-09-19-1131	r340	answerframe	what is the temperature of carbo	Temperature measures the average energy of the ran
2026-09-19-1131	r340	answerframe	what is charcoal made of carbon	The carbon cycle exchanges carbon among air, ocean
2026-09-19-1134	r300	turn_plan	what do coral reefs provide a ho	yet.
2026-09-19-1135	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-1135	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-1135	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-1135	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-1136	r340	knowledge	what is often formed in charcoal	charcoal is a lightweight black residue.
2026-09-19-1136	r340	knowledge	what is the heat supplied by in	charcoal is a lightweight black residue.
2026-09-19-1136	r340	turn_plan	what does the early history of w	abundance.
2026-09-19-1136	r340	knowledge	in which regions did charcoal pr	america, africa.
2026-09-19-1136	r340	analysis_family	where is wood carbonized in mode	On wood carbonized in modern, a sound investigatio
2026-09-19-1136	r340	knowledge	what factors do the properties o	charred, carbonization.
2026-09-19-1136	r340	answerframe	what is the temperature of carbo	Temperature measures the average energy of the ran
2026-09-19-1136	r340	answerframe	what is charcoal made of carbon	The carbon cycle exchanges carbon among air, ocean
2026-09-19-1140	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-1140	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-1140	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-1140	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-1141	r340	knowledge	what is often formed in charcoal	charcoal is a lightweight black residue.
2026-09-19-1141	r340	knowledge	what is the heat supplied by in	charcoal is a lightweight black residue.
2026-09-19-1141	r340	turn_plan	what does the early history of w	abundance.
2026-09-19-1141	r340	knowledge	in which regions did charcoal pr	america, africa.
2026-09-19-1141	r340	analysis_family	where is wood carbonized in mode	On wood carbonized in modern, a sound investigatio
2026-09-19-1141	r340	knowledge	what factors do the properties o	charred, carbonization.
2026-09-19-1141	r340	answerframe	what is the temperature of carbo	Temperature measures the average energy of the ran
2026-09-19-1141	r340	answerframe	what is charcoal made of carbon	The carbon cycle exchanges carbon among air, ocean
2026-09-19-1143	r340	knowledge	what is often formed in charcoal	charcoal is a lightweight black residue.
2026-09-19-1143	r340	knowledge	what is the heat supplied by in	charcoal is a lightweight black residue.
2026-09-19-1143	r340	knowledge	in which regions did charcoal pr	america, africa.
2026-09-19-1143	r340	analysis_family	where is wood carbonized in mode	On wood carbonized in modern, a sound investigatio
2026-09-19-1143	r340	knowledge	what factors do the properties o	charred, carbonization.
2026-09-19-1143	r340	answerframe	what is the temperature of carbo	Temperature measures the average energy of the ran
2026-09-19-1143	r340	answerframe	what is charcoal made of carbon	The carbon cycle exchanges carbon among air, ocean
2026-09-19-1144	r300	turn_plan	in what water do coral reefs gro	reefs.
2026-09-19-1145	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-1145	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-1145	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-1145	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-1148	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-1148	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-1148	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-1148	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-1149	r340	knowledge	what is often formed in charcoal	charcoal is a lightweight black residue.
2026-09-19-1149	r340	knowledge	what is the heat supplied by in	charcoal is a lightweight black residue.
2026-09-19-1149	r340	knowledge	in which regions did charcoal pr	america, africa.
2026-09-19-1149	r340	analysis_family	where is wood carbonized in mode	On wood carbonized in modern, a sound investigatio
2026-09-19-1149	r340	knowledge	what factors do the properties o	charred, carbonization.
2026-09-19-1149	r340	answerframe	what is the temperature of carbo	Temperature measures the average energy of the ran
2026-09-19-1149	r340	answerframe	what is charcoal made of carbon	The carbon cycle exchanges carbon among air, ocean
2026-09-19-1152	r300	turn_plan	what phylum does coral belong to	class anthozoa.
2026-09-19-1152	r300	turn_plan	what do coral polyps form coloni	reefs.
2026-09-19-1153	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-1153	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-1153	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-1153	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-1154	r340	knowledge	what is often formed in charcoal	charcoal is a lightweight black residue.
2026-09-19-1154	r340	knowledge	what is the heat supplied by in	charcoal is a lightweight black residue.
2026-09-19-1154	r340	knowledge	in which regions did charcoal pr	america, africa.
2026-09-19-1154	r340	analysis_family	where is wood carbonized in mode	On wood carbonized in modern, a sound investigatio
2026-09-19-1154	r340	knowledge	what factors do the properties o	charred, carbonization.
2026-09-19-1154	r340	answerframe	what is the temperature of carbo	Temperature measures the average energy of the ran
2026-09-19-1154	r340	answerframe	what is charcoal made of carbon	The carbon cycle exchanges carbon among air, ocean
2026-09-19-1159	r300	turn_plan	what do coral polyps form coloni	reefs.
2026-09-19-1200	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-1200	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-1200	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-1200	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-1202	r340	knowledge	what is often formed in charcoal	charcoal is a lightweight black residue.
2026-09-19-1202	r340	knowledge	what is the heat supplied by in	charcoal is a lightweight black residue.
2026-09-19-1202	r340	knowledge	in which regions did charcoal pr	america, africa.
2026-09-19-1202	r340	analysis_family	where is wood carbonized in mode	On wood carbonized in modern, a sound investigatio
2026-09-19-1202	r340	knowledge	what factors do the properties o	charred, carbonization.
2026-09-19-1202	r340	answerframe	what is the temperature of carbo	Temperature measures the average energy of the ran
2026-09-19-1202	r340	answerframe	what is charcoal made of carbon	The carbon cycle exchanges carbon among air, ocean
2026-09-19-1217	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-1217	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-1217	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-1217	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-1219	r340	knowledge	what is often formed in charcoal	charcoal is a lightweight black residue.
2026-09-19-1219	r340	knowledge	what is the heat supplied by in	charcoal is a lightweight black residue.
2026-09-19-1219	r340	knowledge	in which regions did charcoal pr	america, africa.
2026-09-19-1219	r340	analysis_family	where is wood carbonized in mode	On wood carbonized in modern, a sound investigatio
2026-09-19-1219	r340	knowledge	what factors do the properties o	charred, carbonization.
2026-09-19-1219	r340	answerframe	what is the temperature of carbo	Temperature measures the average energy of the ran
2026-09-19-1219	r340	answerframe	what is charcoal made of carbon	The carbon cycle exchanges carbon among air, ocean
2026-09-19-1222	r340	knowledge	what is often formed in charcoal	charcoal is a lightweight black residue.
2026-09-19-1222	r340	knowledge	what is the heat supplied by in	charcoal is a lightweight black residue.
2026-09-19-1222	r340	knowledge	in which regions did charcoal pr	america, africa.
2026-09-19-1222	r340	analysis_family	where is wood carbonized in mode	On wood carbonized in modern, a sound investigatio
2026-09-19-1222	r340	knowledge	what factors do the properties o	charred, carbonization.
2026-09-19-1222	r340	answerframe	what is the temperature of carbo	Temperature measures the average energy of the ran
2026-09-19-1222	r340	answerframe	what is charcoal made of carbon	The carbon cycle exchanges carbon among air, ocean
2026-09-19-1226	r300	turn_plan	what have shallow tropical coral	since.
2026-09-19-1228	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-1228	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-1228	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-1228	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-1229	r340	knowledge	what is often formed in charcoal	charcoal is a lightweight black residue.
2026-09-19-1229	r340	knowledge	what is the heat supplied by in	charcoal is a lightweight black residue.
2026-09-19-1229	r340	knowledge	in which regions did charcoal pr	america, africa.
2026-09-19-1229	r340	analysis_family	where is wood carbonized in mode	On wood carbonized in modern, a sound investigatio
2026-09-19-1229	r340	knowledge	what factors do the properties o	charred, carbonization.
2026-09-19-1229	r340	answerframe	what is the temperature of carbo	Temperature measures the average energy of the ran
2026-09-19-1229	r340	answerframe	what is charcoal made of carbon	The carbon cycle exchanges carbon among air, ocean
2026-09-19-1236	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-1236	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-1236	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-1236	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-1237	r340	knowledge	what is often formed in charcoal	charcoal is a lightweight black residue.
2026-09-19-1237	r340	knowledge	what is the heat supplied by in	charcoal is a lightweight black residue.
2026-09-19-1237	r340	knowledge	in which regions did charcoal pr	america, africa.
2026-09-19-1237	r340	analysis_family	where is wood carbonized in mode	On wood carbonized in modern, a sound investigatio
2026-09-19-1237	r340	knowledge	what factors do the properties o	charred, carbonization.
2026-09-19-1237	r340	answerframe	what is the temperature of carbo	Temperature measures the average energy of the ran
2026-09-19-1237	r340	answerframe	what is charcoal made of carbon	The carbon cycle exchanges carbon among air, ocean
2026-09-19-1245	r340	knowledge	what is often formed in charcoal	charcoal is a lightweight black residue.
2026-09-19-1245	r340	knowledge	what is the heat supplied by in	charcoal is a lightweight black residue.
2026-09-19-1245	r340	knowledge	in which regions did charcoal pr	america, africa.
2026-09-19-1245	r340	analysis_family	where is wood carbonized in mode	On wood carbonized in modern, a sound investigatio
2026-09-19-1245	r340	knowledge	what factors do the properties o	charred, carbonization.
2026-09-19-1245	r340	answerframe	what is the temperature of carbo	Temperature measures the average energy of the ran
2026-09-19-1245	r340	answerframe	what is charcoal made of carbon	The carbon cycle exchanges carbon among air, ocean
2026-09-19-1248	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-1248	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-1248	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-1248	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-1256	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-1256	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-1256	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-1256	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-1258	r340	knowledge	what is often formed in charcoal	charcoal is a lightweight black residue.
2026-09-19-1258	r340	knowledge	what is the heat supplied by in	charcoal is a lightweight black residue.
2026-09-19-1258	r340	knowledge	in which regions did charcoal pr	america, africa.
2026-09-19-1258	r340	analysis_family	where is wood carbonized in mode	On wood carbonized in modern, a sound investigatio
2026-09-19-1258	r340	knowledge	what factors do the properties o	charred, carbonization.
2026-09-19-1258	r340	answerframe	what is the temperature of carbo	Temperature measures the average energy of the ran
2026-09-19-1258	r340	answerframe	what is charcoal made of carbon	The carbon cycle exchanges carbon among air, ocean
2026-09-19-1306	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-1306	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-1306	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-1306	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-1307	r340	knowledge	what is often formed in charcoal	charcoal is a lightweight black residue.
2026-09-19-1307	r340	knowledge	what is the heat supplied by in	charcoal is a lightweight black residue.
2026-09-19-1307	r340	knowledge	in which regions did charcoal pr	america, africa.
2026-09-19-1307	r340	analysis_family	where is wood carbonized in mode	On wood carbonized in modern, a sound investigatio
2026-09-19-1307	r340	knowledge	what factors do the properties o	charred, carbonization.
2026-09-19-1307	r340	answerframe	what is the temperature of carbo	Temperature measures the average energy of the ran
2026-09-19-1307	r340	answerframe	what is charcoal made of carbon	The carbon cycle exchanges carbon among air, ocean
2026-09-19-1311	r300	fallback	in what kind of water do reefs g	Learned: reefs grow best.
2026-09-19-1311	r300	fallback	in what water do coral reefs gro	Learned: coral reefs grow best.
2026-09-19-1312	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-1312	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-1312	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-1312	r320	fallback	in what kind of farming does com	Learned: compost improve soil fertility.
2026-09-19-1312	r320	fallback	in what kind of agriculture does	Learned: compost improve soil fertility.
2026-09-19-1312	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-1313	r340	fallback	in what is wood heated to produc	Learned: wood heat produce charcoal.
2026-09-19-1313	r340	knowledge	what is often formed in charcoal	charcoal is a lightweight black residue.
2026-09-19-1313	r340	knowledge	what is the heat supplied by in	charcoal is a lightweight black residue.
2026-09-19-1313	r340	knowledge	in which regions did charcoal pr	america, africa.
2026-09-19-1313	r340	analysis_family	where is wood carbonized in mode	On wood carbonized in modern, a sound investigatio
2026-09-19-1313	r340	knowledge	what factors do the properties o	charred, carbonization.
2026-09-19-1313	r340	answerframe	what is the temperature of carbo	Temperature measures the average energy of the ran
2026-09-19-1313	r340	answerframe	what is charcoal made of carbon	The carbon cycle exchanges carbon among air, ocean
2026-09-19-1315	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-1315	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-1315	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-1315	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-1317	r340	knowledge	what is often formed in charcoal	charcoal is a lightweight black residue.
2026-09-19-1317	r340	knowledge	what is the heat supplied by in	charcoal is a lightweight black residue.
2026-09-19-1317	r340	knowledge	in which regions did charcoal pr	america, africa.
2026-09-19-1317	r340	analysis_family	where is wood carbonized in mode	On wood carbonized in modern, a sound investigatio
2026-09-19-1317	r340	knowledge	what factors do the properties o	charred, carbonization.
2026-09-19-1317	r340	answerframe	what is the temperature of carbo	Temperature measures the average energy of the ran
2026-09-19-1317	r340	answerframe	what is charcoal made of carbon	The carbon cycle exchanges carbon among air, ocean
2026-09-19-1328	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-1328	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-1328	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-1328	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-1329	r340	knowledge	what is often formed in charcoal	charcoal is a lightweight black residue.
2026-09-19-1329	r340	knowledge	what is the heat supplied by in	charcoal is a lightweight black residue.
2026-09-19-1329	r340	knowledge	in which regions did charcoal pr	america, africa.
2026-09-19-1329	r340	analysis_family	where is wood carbonized in mode	On wood carbonized in modern, a sound investigatio
2026-09-19-1329	r340	knowledge	what factors do the properties o	charred, carbonization.
2026-09-19-1329	r340	answerframe	what is the temperature of carbo	Temperature measures the average energy of the ran
2026-09-19-1329	r340	answerframe	what is charcoal made of carbon	The carbon cycle exchanges carbon among air, ocean
2026-09-19-1331	r300	turn_plan	what do shallow coral reefs form	Earth.
2026-09-19-1332	r320	turn_plan	what can compost be used for?	Land.
2026-09-19-1332	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-1332	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-1332	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-1332	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-1333	r340	knowledge	what is often formed in charcoal	charcoal is a lightweight black residue.
2026-09-19-1333	r340	knowledge	what is the heat supplied by in	charcoal is a lightweight black residue.
2026-09-19-1333	r340	knowledge	in which regions did charcoal pr	america, africa.
2026-09-19-1333	r340	analysis_family	where is wood carbonized in mode	On wood carbonized in modern, a sound investigatio
2026-09-19-1333	r340	knowledge	what factors do the properties o	charred, carbonization.
2026-09-19-1333	r340	answerframe	what is the temperature of carbo	Temperature measures the average energy of the ran
2026-09-19-1333	r340	answerframe	what is charcoal made of carbon	The carbon cycle exchanges carbon among air, ocean
2026-09-19-1336	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-1336	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-1336	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-1336	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-1337	r340	knowledge	what is often formed in charcoal	charcoal is a lightweight black residue.
2026-09-19-1337	r340	knowledge	what is the heat supplied by in	charcoal is a lightweight black residue.
2026-09-19-1337	r340	knowledge	in which regions did charcoal pr	america, africa.
2026-09-19-1337	r340	analysis_family	where is wood carbonized in mode	On wood carbonized in modern, a sound investigatio
2026-09-19-1337	r340	knowledge	what factors do the properties o	charred, carbonization.
2026-09-19-1337	r340	answerframe	what is the temperature of carbo	Temperature measures the average energy of the ran
2026-09-19-1337	r340	answerframe	what is charcoal made of carbon	The carbon cycle exchanges carbon among air, ocean
2026-09-19-1343	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-1343	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-1343	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-1343	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-1344	r340	knowledge	what is often formed in charcoal	charcoal is a lightweight black residue.
2026-09-19-1344	r340	knowledge	what is the heat supplied by in	charcoal is a lightweight black residue.
2026-09-19-1344	r340	knowledge	in which regions did charcoal pr	america, africa.
2026-09-19-1344	r340	analysis_family	where is wood carbonized in mode	On wood carbonized in modern, a sound investigatio
2026-09-19-1344	r340	knowledge	what factors do the properties o	charred, carbonization.
2026-09-19-1344	r340	answerframe	what is the temperature of carbo	Temperature measures the average energy of the ran
2026-09-19-1344	r340	answerframe	what is charcoal made of carbon	The carbon cycle exchanges carbon among air, ocean
2026-09-19-1354	r320	answerframe	what properties of soil does com	soil fertility.
2026-09-19-1354	r320	answerframe	what is the resulting mixture ri	plant nutrients.
2026-09-19-1354	r320	answerframe	where does compost improve soil	Soil fertility.
2026-09-19-1354	r320	answerframe	what is added to the plant matte	Matter is physical substance made of particles, wi
2026-09-19-1355	r340	knowledge	what is often formed in charcoal	charcoal is a lightweight black residue.
2026-09-19-1355	r340	knowledge	what is the heat supplied by in	charcoal is a lightweight black residue.
2026-09-19-1355	r340	knowledge	in which regions did charcoal pr	america, africa.
